Wavenumber,Original,Predicted_Baseline,Corrected_Predicted,Default_Baseline,Corrected_Default
112.32,1114.72,1103.6490711320214,11.070928867978637,1112.0496703499477,2.670329650052281
112.653,1118.19,1104.2886304729639,13.901369527036195,1112.1477092280531,6.0422907719469094
112.988,1108.81,1104.9021984090516,3.9078015909483383,1112.2457481061588,-3.435748106158826
113.322,1116.14,1105.4892549454157,10.650745054584377,1112.3786273039061,3.7613726960939857
113.657,1111.96,1106.0492800871866,5.91071991281342,1112.5115065016535,-0.5515065016534209
113.99,1107.85,1106.581753839495,1.2682461605049866,1112.6499354282832,-4.799935428283334
114.324,1113.99,1107.08615620747,6.903843792530097,1112.837242363839,1.1527576361609135
114.659,1115.66,1107.5629867098596,8.097013290140467,1113.012999608557,2.6470003914430436
114.992,1116.92,1108.0127448654125,8.907255134587558,1113.1887568532748,3.731243146725319
115.327,1110.13,1108.4359301928769,1.6940698071232418,1113.3645140979925,-3.23451409799236
115.661,1118.16,1108.8330422109996,9.326957789000517,1113.5730951120127,4.58690488798743
115.994,1123.52,1109.2049292803197,14.315070719680307,1113.781676126033,9.73832387396692
116.329,1116.12,1109.552439761377,6.567560238622946,1113.9902571400535,2.1297428599464183
116.663,1123.23,1109.8764220147107,13.353577985289348,1114.1775304781604,9.052469521839612
116.997,1119.84,1110.1777244008604,9.662275599139548,1114.3648038162676,5.475196183732351
117.331,1123.64,1110.4571952803649,13.182804719635214,1114.5520771543745,9.087922845625599
117.664,1120.89,1110.715683013762,10.174316986238182,1114.7393504924814,6.150649507518665
117.999,1128.13,1110.95403596159,17.17596403841003,1114.9266238305886,13.203376169411513
118.332,1128.08,1111.1731024843882,16.906897515611718,1115.1138971686958,12.96610283130417
118.666,1130.76,1111.3737309426947,19.3862690573053,1115.3011705068027,15.4588294931973
119.0,1133.49,1111.556769697047,21.933230302953007,1115.4884438449099,18.001556155090157
119.334,1121.12,1111.7230671079828,9.396932892017048,1115.675717183017,5.444282816982877
119.667,1127.45,1111.8734715360395,15.576528463960585,1115.8629905211242,11.58700947887587
120.002,1124.7,1112.0088313417543,12.691168658245715,1116.0502638592313,8.64973614076871
120.335,1120.79,1112.129994885664,8.660005114335945,1116.2375371973387,4.552462802661239
120.668,1129.35,1112.2378105283046,17.112189471695274,1116.424810535446,12.925189464553796
121.001,1117.21,1112.3331266302127,4.87687336978729,1116.6120838735535,0.5979161264465347
121.336,1114.28,1112.4167915519245,1.8632084480755111,1116.7933445253282,-2.5133445253281934
121.669,1112.91,1112.4896536539757,0.42034634602441656,1117.000097505358,-4.090097505358017
122.002,1125.43,1112.5525612969009,12.877438703099187,1117.2485194833164,8.181480516683678
122.337,1126.49,1112.6064759247663,13.883524075233709,1117.4969414612744,8.993058538725563
122.67,1134.62,1112.6523589816375,21.96764101836243,1117.7453634392323,16.874636560767613
123.003,1130.82,1112.6911719115806,18.128828088419368,1117.99378541719,12.826214582809826
123.336,1130.17,1112.7238761586616,17.446123841338476,1118.2422073951482,11.927792604851902
123.671,1128.21,1112.7514331669456,15.45856683305442,1118.4906293731062,9.719370626893806
124.004,1124.75,1112.7748043804977,11.975195619502301,1118.739051351064,6.010948648935937
124.337,1125.9,1112.7949512433815,13.105048756618544,1118.987473329022,6.912526670978195
124.67,1130.56,1112.8128351996604,17.747164800339533,1119.23589530698,11.32410469301999
125.003,1119.11,1112.8294176933982,6.280582306601673,1119.484317284938,-0.37431728493811534
125.338,1136.06,1112.8456601686573,23.214339831342613,1119.7365176586839,16.323482341316094
